Titolo;Ticker;Mercato;Settore;Classe;Valuta;Prezzo;Capitalizzazione mln;EPS TTM;EPS 2026E;P/E;P/B;ROE implicito;ROE 1 anno;ROE 5 anni;Variabilita ROE;Esercizi ROE;Dividendo;Rendimento;Debito su mezzi propri;Crescita ricavi;Margine netto;Giudizio;Motivo;Rilevazione;Fonte;Note
Visa;V;USA;Pagamenti;FIN;USD;365,67;682723,2;11,75;14,95217;31,120851;19,378378;0,622681;0,6119;0,474971;0,043659;4;2,68;0,007329;67,821;0,144;0,55995;SCARTA;P/E troppo alto (31.1);2026-08-04;yahoo;
Vistra;VST;USA;Utility / Generazione;UTI;USD;155,94;52580,2;5,99;10,32961;26,033389;16,891247;0,64883;0,42898;0,173402;0,266326;4;0,92;0,0059;366,613;0,434;0,115515;SCARTA;P/E troppo alto (26.0);2026-08-04;yahoo;
Walmart;WMT;USA;Grande distribuzione;CON;USD;110,71;881038,9;2,84;3,27981;38,982394;9,344193;0,239703;0,24132;0,192645;0,02674;4;0,99;0,008942;74,816;0,073;0,031881;SCARTA;P/E troppo alto (39.0);2026-08-04;yahoo;
Walt Disney;DIS;USA;Media / Intrattenimento;CON;USD;98,14;170421,2;6,25;7,45755;15,7024;1,575357;0,100326;0,1101;0,054772;0,034793;4;1,5;0,015284;41,069;0,065;0,118867;SCARTA;ROE al 5.5%, sotto la soglia;2026-08-04;yahoo;
Waste Management;WM;USA;Servizi ambientali;IND;USD;226,43;90507,5;3,81;9,14371;59,430446;9,124723;0,153536;0,29841;0,316092;0,026131;4;3,54;0,015634;235,301;0,04;0,113196;SCARTA;P/E troppo alto (59.4);2026-08-04;yahoo;
Webuild;WBD.MI;Italia;Costruzioni;IND;EUR;2,286;2260,4;0,25;0,35059;9,144;1,352663;0,147929;0,11915;0,086239;0,050993;4;0,08;0,034996;175,257;-0,034;0,019233;SCARTA;ROE al 8.6%, sotto la soglia;2026-08-04;yahoo;
Wells Fargo;WFC;USA;Banca;FIN;USD;87,89;265779,3;6,88;7,88119;12,774709;1,652254;0,129338;0,12575;0,101717;0,015799;4;2;0,022756;;0,095;0,258247;SCARTA;ROE al 10.2%, sotto la soglia;2026-08-04;yahoo;
Williams Companies;WMB;USA;Gasdotti;ENE;USD;70,43;86135,8;2,28;2,57591;30,890351;6,738423;0,21814;0,19656;0,204518;0,031709;4;2,1;0,029817;199,855;0,09;0,233389;SCARTA;P/E troppo alto (30.9);2026-08-04;yahoo;
Xcel Energy;XEL;USA;Utility;UTI;USD;77,69;48527,8;3,65;4,53802;21,284932;2,036916;0,095698;0,0992;0,097322;0,007073;4;2,37;0,030506;173,135;-0,051;0,152226;SCARTA;ROE al 9.7%, sotto la soglia;2026-08-04;yahoo;
Zoetis;ZTS;USA;Salute animale;SAL;USD;77,1;32322,5;6,1;7,39019;12,639344;9,835438;0,77816;0,67748;0,568157;0,136665;4;2,12;0,027497;286,236;0,029;0,282244;PASSA FORTE;ROE 67.7% / 56.8% con P/E 12.6;2026-08-04;yahoo;
